fpr,tpr,risk_score_threshold
0.0,0.0,inf
0.0015526343028671981,0.8466076696165191,100.0
0.0018631611634406377,0.8466076696165191,99.9
0.002277196977538557,0.8466076696165191,99.8
0.002380705931063037,0.8466076696165191,99.6
0.0027947417451609563,0.8466076696165191,99.4
0.0034157954663078358,0.8466076696165191,99.3
0.003829831280405755,0.8466076696165191,99.2
0.004036849187454714,0.8466076696165191,99.1
0.004657902908601594,0.8466076696165191,98.8
0.004761411862126074,0.8495575221238938,98.7
0.005071938722699514,0.8495575221238938,98.6
0.0059000103508953525,0.8495575221238938,98.4
0.006624573025566712,0.8495575221238938,98.3
0.0068315909326156716,0.8495575221238938,98.2
0.007142117793189111,0.8495575221238938,98.1
0.008073698374909429,0.8495575221238938,98.0
0.00838422523548287,0.8525073746312685,97.9
0.008591243142531828,0.855457227138643,97.8
0.008694752096056309,0.855457227138643,97.7
0.009108787910154228,0.855457227138643,97.6
0.009315805817203189,0.855457227138643,97.4
0.009936859538350067,0.855457227138643,97.3
0.010040368491874547,0.855457227138643,97.2
0.010350895352447986,0.855457227138643,97.1
0.010557913259496947,0.855457227138643,97.0
0.010868440120070386,0.855457227138643,96.9
0.011075458027119347,0.855457227138643,96.8
0.011696511748266225,0.855457227138643,96.7
0.012317565469413105,0.855457227138643,96.5
0.012421074422937585,0.855457227138643,96.3
0.013042128144084463,0.855457227138643,96.2
0.013249146051133424,0.855457227138643,96.1
0.013559672911706863,0.855457227138643,96.0
0.013766690818755822,0.855457227138643,95.8
0.013973708725804782,0.855457227138643,95.7
0.014387744539902702,0.855457227138643,95.6
0.014491253493427182,0.855457227138643,95.5
0.014905289307525101,0.855457227138643,95.4
0.01552634302867198,0.855457227138643,95.2
0.01562985198219646,0.855457227138643,95.1
0.01583686988924542,0.855457227138643,94.9
0.016147396749818858,0.855457227138643,94.8
0.01656143256391678,0.855457227138643,94.7
0.01676845047096574,0.855457227138643,94.6
0.017078977331539177,0.855457227138643,94.5
0.017493013145637098,0.855457227138643,94.4
0.01780354000621054,0.855457227138643,94.3
0.018321084773832937,0.855457227138643,94.2
0.018631611634406377,0.855457227138643,94.1
0.019149156402028775,0.855457227138643,94.0
0.019459683262602216,0.855457227138643,93.9
0.019666701169651173,0.855457227138643,93.8
0.019977228030224614,0.855457227138643,93.7
