day,flagged,unplanned,chronic_today,mean_health,pct_fleet_health_lt_50
0,1550,13,0,71.83,25.5
1,930,7,0,74.85,21.94
2,938,15,920,74.73,22.05
3,84,13,0,80.87,14.19
4,76,12,0,80.8,14.18
5,77,8,61,80.7,14.35
6,12,12,0,81.03,13.97
7,20,10,0,80.93,14.18
8,24,17,0,80.85,14.21
9,15,15,0,80.83,14.21
10,16,5,0,80.73,14.28
11,26,11,0,80.62,14.34
12,18,7,0,80.57,14.39
13,14,11,0,80.51,14.45
14,26,14,0,80.39,14.56
15,22,8,0,80.33,14.66
16,15,10,0,80.25,14.72
17,33,15,0,80.15,14.76
18,14,13,0,80.17,14.63
19,22,15,0,80.04,14.69
20,25,18,0,80.0,14.75
21,18,15,0,79.95,14.79
22,22,9,0,79.89,14.8
23,18,20,0,79.8,14.94
24,20,13,0,79.76,14.96
25,25,14,0,79.69,15.13
26,23,16,0,79.67,15.15
27,20,16,0,79.6,15.12
28,25,13,0,79.56,15.22
29,20,11,0,79.51,15.27
30,23,14,0,79.46,15.28
31,15,19,0,79.45,15.39
32,31,13,0,79.39,15.4
33,23,16,0,79.38,15.37
34,29,11,0,79.31,15.47
35,25,8,0,79.28,15.49
36,21,11,0,79.23,15.58
37,24,12,0,79.17,15.6
38,35,14,0,79.13,15.56
39,20,22,0,79.16,15.37
40,20,15,0,79.12,15.4
41,21,13,0,79.08,15.4
42,13,12,0,78.99,15.55
43,26,15,0,78.89,15.8
44,34,19,0,78.86,15.75
45,22,10,0,78.89,15.75
46,25,21,0,78.84,15.87
47,25,13,0,78.83,15.94
48,36,12,0,78.81,16.02
49,21,14,0,78.83,15.94
50,19,9,0,78.78,16.08
51,23,10,0,78.72,16.05
52,16,10,0,78.66,16.1
53,21,13,0,78.58,16.21
54,29,10,0,78.5,16.4
55,19,10,0,78.49,16.36
56,25,14,0,78.39,16.55
57,37,11,0,78.34,16.63
58,20,16,0,78.35,16.57
59,22,11,0,78.28,16.6
60,10,21,0,78.25,16.56
61,32,11,0,78.17,16.7
62,25,8,0,78.16,16.74
63,25,9,0,78.12,16.77
64,28,16,0,78.08,16.81
65,23,11,0,78.1,16.72
66,27,15,0,78.0,16.82
67,24,13,0,77.97,16.85
68,33,11,0,77.96,16.93
69,26,19,0,77.95,16.86
70,30,14,0,77.94,16.89
71,27,16,0,77.92,16.89
72,28,19,0,77.91,16.83
73,20,11,0,77.9,16.83
74,20,15,0,77.85,16.88
75,28,18,0,77.77,17.02
76,43,15,0,77.74,17.05
77,22,14,0,77.78,17.05
78,31,17,0,77.76,17.11
79,32,12,0,77.78,17.09
80,21,11,0,77.76,17.03
81,27,11,0,77.71,17.05
82,29,14,0,77.67,17.06
83,23,8,0,77.68,17.11
84,38,20,0,77.6,17.11
85,24,12,0,77.6,17.11
86,25,9,0,77.57,17.13
87,27,21,0,77.52,17.2
88,26,13,0,77.49,17.16
89,33,9,0,77.45,17.17
90,22,9,0,77.48,17.05
91,33,13,0,77.41,17.13
92,20,14,0,77.42,17.21
93,21,16,0,77.37,17.38
94,28,17,0,77.33,17.37
95,28,15,0,77.32,17.38
96,25,20,0,77.33,17.36
97,32,14,0,77.3,17.35
98,21,17,0,77.31,17.25
99,30,12,0,77.26,17.45
100,42,15,0,77.22,17.39
101,31,14,0,77.29,17.25
102,26,13,0,77.23,17.45
103,27,13,0,77.2,17.42
104,27,17,0,77.18,17.4
105,32,13,0,77.14,17.42
106,23,16,0,77.12,17.4
107,31,15,0,77.06,17.59
108,18,15,0,77.06,17.61
109,34,12,0,76.98,17.77
110,30,14,0,76.96,17.68
111,27,11,0,76.93,17.71
112,37,15,0,76.89,17.8
113,34,12,0,76.87,17.79
114,37,13,0,76.83,17.98
115,33,15,0,76.84,18.0
116,27,16,0,76.8,18.08
117,29,12,0,76.73,18.15
118,36,14,0,76.72,18.06
119,31,13,0,76.71,18.08
120,27,15,0,76.65,18.16
121,31,10,0,76.63,18.17
122,35,10,0,76.57,18.23
123,34,12,0,76.52,18.33
124,45,13,0,76.53,18.3
125,35,16,0,76.56,18.26
126,38,14,0,76.52,18.19
127,33,9,0,76.5,18.3
128,35,18,0,76.44,18.43
129,50,14,0,76.44,18.43
130,34,17,0,76.46,18.34
131,35,16,0,76.43,18.28
132,38,12,0,76.42,18.32
133,36,8,0,76.38,18.43
134,30,16,0,76.38,18.4
135,30,10,0,76.34,18.59
136,35,14,0,76.27,18.77
137,39,13,0,76.2,18.95
138,34,13,0,76.18,19.01
139,33,17,0,76.11,19.16
140,37,16,0,76.07,19.39
141,24,7,0,76.03,19.38
142,34,10,0,75.93,19.59
143,24,18,0,75.87,19.56
144,32,12,0,75.76,19.74
145,41,12,0,75.71,19.73
146,37,12,0,75.71,19.68
147,33,12,0,75.67,19.86
148,40,16,0,75.59,19.98
149,42,6,0,75.62,19.79
150,36,15,0,75.61,19.8
151,37,7,0,75.57,19.92
152,33,11,0,75.53,20.01
153,34,13,0,75.46,20.3
154,33,18,0,75.42,20.38
155,33,16,0,75.36,20.3
156,35,8,0,75.28,20.4
157,33,15,0,75.25,20.51
158,29,10,0,75.22,20.5
159,42,10,0,75.13,20.5
160,46,17,0,75.14,20.56
161,42,16,0,75.14,20.54
162,30,13,0,75.13,20.75
163,51,15,0,75.05,20.91
164,44,14,0,75.09,20.88
165,43,15,0,75.14,20.8
166,38,11,0,75.18,20.71
167,35,25,0,75.15,20.75
168,39,19,0,75.12,20.84
169,43,16,0,75.09,20.96
170,32,16,0,75.1,21.08
171,45,13,0,75.06,21.23
172,30,16,0,75.06,21.36
173,52,11,0,74.99,21.42
174,43,14,0,75.02,21.27
175,44,9,0,74.99,21.36
176,30,12,0,75.01,21.32
177,50,12,0,74.98,21.35
178,40,17,0,74.99,21.26
179,43,5,0,74.97,21.3
