day,flagged,unplanned,chronic_today,mean_health,pct_fleet_health_lt_50
0,2550,12,0,71.83,25.5
1,1697,6,0,76.84,16.97
2,1695,12,1674,76.8,16.95
3,255,9,0,86.11,2.55
4,255,9,0,86.05,2.55
5,264,6,232,86.01,2.64
6,35,12,0,87.39,0.35
7,36,11,0,87.38,0.36
8,28,12,3,87.37,0.28
9,29,14,0,87.35,0.29
10,22,6,0,87.31,0.22
11,22,11,0,87.26,0.22
12,34,4,0,87.23,0.34
13,30,15,0,87.21,0.3
14,25,10,0,87.18,0.25
15,37,7,0,87.15,0.37
16,26,10,0,87.16,0.26
17,22,9,0,87.12,0.22
18,23,17,0,87.06,0.23
19,19,12,0,87.02,0.19
20,29,16,0,86.97,0.29
21,30,12,0,86.95,0.3
22,19,10,0,86.95,0.19
23,33,17,0,86.87,0.33
24,31,14,0,86.86,0.31
25,38,15,0,86.88,0.38
26,30,14,0,86.89,0.3
27,28,13,0,86.88,0.28
28,31,13,0,86.86,0.31
29,34,11,0,86.85,0.34
30,24,10,0,86.86,0.24
31,41,18,0,86.84,0.41
32,22,12,0,86.89,0.22
33,29,15,0,86.85,0.29
34,35,11,0,86.83,0.35
35,31,8,0,86.86,0.31
36,36,16,0,86.83,0.36
37,27,14,0,86.85,0.27
38,22,10,0,86.84,0.22
39,19,22,0,86.79,0.19
40,31,12,0,86.74,0.31
41,32,15,0,86.75,0.32
42,38,14,0,86.74,0.38
43,38,14,0,86.77,0.38
44,32,15,0,86.79,0.32
45,41,6,0,86.78,0.41
46,37,17,0,86.82,0.37
47,35,16,0,86.85,0.35
48,42,13,0,86.88,0.42
49,30,10,0,86.92,0.3
50,31,10,0,86.91,0.31
51,21,14,0,86.91,0.21
52,34,12,0,86.9,0.34
53,33,13,0,86.92,0.33
54,38,9,0,86.92,0.38
55,28,11,0,86.96,0.28
56,30,16,0,86.93,0.3
57,34,8,0,86.92,0.34
58,29,13,0,86.94,0.29
59,25,11,0,86.91,0.25
60,26,21,0,86.92,0.26
61,33,11,0,86.91,0.33
62,31,7,0,86.93,0.31
63,28,9,0,86.93,0.28
64,33,17,0,86.9,0.33
65,30,11,0,86.94,0.3
66,33,12,0,86.92,0.33
67,34,7,0,86.91,0.34
68,30,14,0,86.94,0.3
69,21,14,0,86.94,0.21
70,26,11,0,86.9,0.26
71,27,12,0,86.88,0.27
72,20,21,0,86.86,0.2
73,35,12,0,86.85,0.35
74,37,15,0,86.86,0.37
75,28,14,0,86.89,0.28
76,27,14,0,86.89,0.27
77,40,12,0,86.86,0.4
78,23,8,0,86.92,0.23
79,24,14,0,86.88,0.24
80,31,13,0,86.84,0.31
81,29,11,0,86.83,0.29
82,22,11,0,86.83,0.22
83,34,8,0,86.79,0.34
84,19,16,0,86.79,0.19
85,35,10,0,86.76,0.35
86,31,8,0,86.76,0.31
87,30,19,0,86.77,0.3
88,28,18,0,86.75,0.28
89,23,9,0,86.75,0.23
90,36,13,0,86.72,0.36
91,32,10,0,86.74,0.32
92,38,10,0,86.74,0.38
93,31,13,0,86.75,0.31
94,22,11,0,86.75,0.22
95,22,12,0,86.72,0.22
96,35,18,0,86.68,0.35
97,32,10,0,86.7,0.32
98,26,15,0,86.69,0.26
99,40,12,0,86.65,0.4
100,28,10,0,86.69,0.28
101,39,12,0,86.67,0.39
102,26,11,0,86.71,0.26
103,37,12,0,86.7,0.37
104,20,15,0,86.73,0.2
105,28,12,0,86.69,0.28
106,26,14,0,86.66,0.26
107,39,9,0,86.64,0.39
108,37,10,0,86.66,0.37
109,36,9,0,86.68,0.36
110,29,8,0,86.68,0.29
111,31,8,0,86.65,0.31
112,36,12,0,86.64,0.36
113,31,15,0,86.62,0.31
114,33,8,0,86.57,0.33
115,39,16,0,86.55,0.39
116,25,16,0,86.55,0.25
117,30,10,0,86.5,0.3
118,29,13,0,86.45,0.29
119,42,12,0,86.39,0.42
120,34,10,0,86.38,0.34
121,35,9,0,86.34,0.35
122,34,10,0,86.3,0.34
123,47,7,0,86.27,0.47
124,40,7,0,86.27,0.4
125,30,19,0,86.25,0.3
126,32,11,0,86.2,0.32
127,34,13,0,86.15,0.34
128,31,16,0,86.12,0.31
129,38,15,0,86.07,0.38
130,31,10,0,86.02,0.31
131,37,12,0,85.94,0.37
132,37,8,0,85.88,0.37
133,43,9,0,85.8,0.43
134,35,13,0,85.74,0.35
135,42,8,0,85.68,0.42
136,52,15,0,85.63,0.52
137,45,17,0,85.65,0.45
138,47,15,0,85.64,0.47
139,37,18,0,85.63,0.37
140,51,10,0,85.6,0.51
141,44,5,0,85.57,0.44
142,37,12,0,85.54,0.37
143,31,19,0,85.47,0.31
144,40,9,0,85.38,0.4
145,31,11,0,85.35,0.31
146,50,13,0,85.26,0.5
147,52,9,0,85.24,0.52
148,48,15,0,85.21,0.48
149,37,6,0,85.17,0.37
150,41,15,0,85.09,0.41
151,54,7,0,85.04,0.54
152,53,9,0,85.05,0.53
153,50,11,0,85.04,0.5
154,39,13,0,85.02,0.39
155,44,10,0,84.95,0.44
156,40,10,0,84.89,0.4
157,61,12,0,84.84,0.61
158,51,11,0,84.87,0.51
159,45,7,0,84.85,0.45
160,55,14,0,84.81,0.55
161,47,18,0,84.8,0.47
162,52,12,0,84.81,0.52
163,41,14,0,84.79,0.41
164,50,12,0,84.77,0.5
165,49,10,0,84.74,0.49
166,61,9,0,84.7,0.61
167,47,22,0,84.72,0.47
168,47,12,0,84.72,0.47
169,50,11,0,84.68,0.5
170,48,12,0,84.65,0.48
171,49,12,0,84.66,0.49
172,41,18,0,84.67,0.41
173,56,10,0,84.65,0.56
174,57,14,0,84.65,0.57
175,50,8,0,84.65,0.5
176,34,7,0,84.64,0.34
177,41,10,0,84.57,0.41
178,43,12,0,84.53,0.43
179,39,5,0,84.5,0.39
